delta_rss_mb_mean,delta_rss_mb_std,n_global_drift_events_mean,n_global_drift_events_std,n_orders_mean,n_orders_std,n_refits_mean,n_refits_std,n_seeds,n_skus,peak_python_mem_mb_mean,peak_python_mem_mb_std,policy,runtime_seconds_mean,runtime_seconds_std,stockout_rate_mean,stockout_rate_std,time_per_step_ms_mean,time_per_step_ms_std,total_cost_mean,total_cost_std
0.009375,0.00855816496101822,,,203.0,0.0,,,5,100,0.13593521118164062,9.421028020158762e-05,static_rop,0.01871090019849362,0.00013985435386607402,0.8940476190476191,0.003604345659639858,0.037124801981138135,0.0002774887973533215,135770.736,405.4591910784695
0.05,0.10329058675649005,,,1862.0,0.0,,,5,1000,0.36975784301757814,4.1187249455952575e-05,static_rop,0.11567938299995148,0.000995157333545499,0.9227450980392157,0.0026306682088233307,0.226822319607748,0.0019512888893049069,1101358.158,3788.5800938835278
0.015625,0.034938562148434216,,,448.0,0.0,,,5,200,0.1452178955078125,5.8942936479043745e-05,static_rop,0.029974391996802296,0.00013653507795094176,0.9055555555555556,0.004567803346516388,0.05947299999365535,0.0002709029324423437,282692.506,768.7376735467043
0.165625,0.3531388271629162,,,126.0,0.0,,,5,50,0.1316770553588867,0.008983091057817107,static_rop,0.014256000201567077,0.0026915659372100907,0.8774451097804391,0.0022757992516949073,0.028455090222688776,0.0053723871002197415,80233.372,174.71718481591853
0.028125,0.054575778739290565,,,994.0,0.0,,,5,500,0.2371654510498047,5.14454038973281e-05,static_rop,0.06287508339737542,0.00013180385815840705,0.9208661417322835,0.001646968556169437,0.12376984920743193,0.00025945641369765033,605292.742,1351.9631886150137
0.034375,0.07686483672655527,,,700.0,0.0,,,5,100,0.601870346069336,0.0028608225434368275,periodic_forecasting,3.5068088083993643,0.14593684660094788,0.1619047619047619,0.00893958756037207,6.957953984919374,0.289557235319341,300889.074,1138.0690486653243
0.05,0.11180339887498948,,,6986.0,2.7386127875258306,,,5,1000,1.6100101470947266,0.000641824940512143,periodic_forecasting,11.661991982998734,0.031232262978034008,0.3952941176470588,0.00382227229208195,22.866650947056343,0.061239731329478665,2908931.146,8018.304991753625
-0.253125,0.7012474933110279,,,1400.6,1.3416407864998738,,,5,200,0.8101345062255859,0.0013314553121965172,periodic_forecasting,5.069312483200338,0.024464325457609497,0.2634920634920635,0.009135606693032799,10.058159688889559,0.04854032828890798,612007.956,1166.7537791153738
0.265625,0.5513212113867922,,,350.0,0.0,,,5,50,0.4669780731201172,0.001365648967535121,periodic_forecasting,2.352854799797933,0.09072519787522354,0.13013972055888223,0.005538697375453741,4.696316965664537,0.18108821931182353,149219.462,210.72110755687996
0.03125,0.06987712429686843,,,3484.4,3.5777087639996634,,,5,500,1.216802215576172,0.0021059847220896177,periodic_forecasting,8.312291375000495,0.03679471910777782,0.3425196850393701,0.010960166068563015,16.36277829724507,0.07243054942475974,1459437.66,5173.653403099272
4.596875,0.04608712876172696,1.0,0.0,1512.0,17.72004514666935,820.0,0.0,5,100,4.984113883972168,0.013019885815120525,mas,53.54380135820247,0.15568675411222616,0.11944444444444444,0.007070845111589469,106.2377011075446,0.3089022899052121,111897.28600000001,1140.3388378153206
0.36875,4.693376524755392,0.0,0.0,4557.6,11.545561917897283,15206.0,0.0,5,1000,12.98002872467041,0.016215129865823203,mas,102.64311766680039,4.147298407186954,0.04274509803921569,0.005075364355115602,201.26101503294194,8.13195766115089,427952.504,1351.1106341932052
2.878125,3.515180527458725,1.0,0.0,2482.0,13.765899897936205,1635.0,0.0,5,200,7.29952220916748,0.02987496164199045,mas,84.51878307480074,1.1185999558093738,0.17142857142857143,0.00588587181515529,167.69599816428718,2.219444356764636,185603.322,841.3177272113041
16.384375,35.96441858694333,1.0,0.0,901.2,6.797058187186571,425.0,0.0,5,50,10.601134109497071,15.981111027049012,mas,33.38193348340137,1.8123246118710228,0.08662674650698603,0.00727927446259899,66.63060575529215,3.6174143949521436,62610.6,410.57778964527637
2.1375,2.085905313422088,1.0,0.0,3375.4,1109.3963673998576,6208.8,2178.840333755551,5,500,9.757095336914062,2.1481566677629007,mas,98.83670637500109,0.8670652090893669,0.10472440944881889,0.0966513382367899,194.56044562008088,1.7068212777349785,283702.57,71499.70470086328
